id,gender,name,original_name,known_for_department
76477,2,Nophand Boonyai,นพพันธ์ บุญใหญ่,Acting
3514165,1,Pinthip Orachorn,Pinthip Orachorn,Acting
1292043,2,Mike Angelo,Mike Angelo,Acting
2763423,1,Chanya McClory,Chanya McClory,Acting
1051833,2,David Asavanond,David Asavanond,Acting
1027750,2,Paramej Noiam,ปรเมศร์ น้อยอ่ำ,Acting
3389839,1,Kulteera Yordchang,Kulteera Yordchang,Acting
3467560,2,Witthawat Rattanaboonbaramee,Witthawat Rattanaboonbaramee,Acting
1343666,2,Bhuripat Vejvongsatechavat,ภูริพรรธน์ เวชวงศาเตชาวัชร์,Acting
1832785,2,Phiravich Attachitsataporn,พีรวิชญ์ อรรถชิตสถาพร,Acting
2674888,2,Chanatip Potongkam,Chanatip Phothongka,Acting
3186387,2,Khunnapat Pichetworawut,Khunnapat Pichetworawut,Acting
931444,2,Pachara Chirathivat,พชร จิราธิวัฒน์,Acting
2262810,1,Phantira Pipityakorn,Phantira Pipityakorn,Acting
2100736,2,Nat Kitcharit,ณัฏฐ์ กิจจริต,Acting
1259493,1,Esther Supreeleela,Esther Supreeleela,Acting
3627553,2,Achira Theriault,Achira Theriault,Acting
3063,1,Tilda Swinton,Tilda Swinton,Acting
2126734,1,Agnes Brekke,Agnes Brekke,Acting
1603,2,Daniel Giménez Cacho,Daniel Giménez Cacho,Acting
2893050,2,Jerónimo Barón,Jerónimo Barón,Acting
1919397,2,Juan Pablo Urrego,Juan Pablo Urrego,Acting
557875,0,Thanapat Saisaymar,Thanapat Saisaymar,Acting
120258,1,Jenjira Pongpas,Jenjira Pongpas,Acting
69758,2,Sakda Kaewbuadee,Sakda Kaewbuadee,Acting
557876,0,Natthakarn Aphaiwonk,Natthakarn Aphaiwonk,Acting
1498159,0,Geerasak Kulhong,Geerasak Kulhong,Acting
1343178,2,Pichaya Nitipaisalkul,พิชญะ นิธิไพศาลกุล,Acting
3214177,1,Dhanantorn Neerasingh,Dhanantorn Neerasingh,Acting
1956192,1,Gena Desouza,Gena Desouza,Acting
2879536,2,Supachai Suwanon,ศุภชัย สุวรรณอ่อน,Acting
1191895,2,Pongtap Anurat,พงศ์เทพ อนุรัตน์,Acting
2946554,1,Rakel Lenora Fløttum,Rakel Lenora Fløttum,Acting
2946555,1,Alva Brynsmo Ramstad,Alva Brynsmo Ramstad,Acting
2946556,2,Sam Ashraf,Sam Ashraf,Acting
2946557,1,Mina Yasmin Bremseth Asheim,Mina Yasmin Bremseth Asheim,Acting
79331,1,Ellen Dorrit Petersen,Ellen Dorrit Petersen,Acting
2079854,1,Kristine Kujath Thorp,Kristine Kujath Thorp,Acting
1719168,2,Nader Khademi,Nader Khademi,Acting
74721,2,Arthur Berning,Arthur Berning,Acting
2476955,1,Tora Christine Dietrichson,Tora Christine Dietrichson,Acting
1840963,1,Silya Nymoen,Silya Nymoen,Acting
1349186,1,Xu Shouli,Xu Shouli,Acting
1398032,2,Jin Xin,Xin Jin,Acting
3164683,1,Louise Wong,Louise Wong,Acting
2217481,2,Terrance Lau Chun-Him,劉俊謙,Acting
1638505,1,Fish Liew,Fish Liew,Acting
78875,2,Louis Koo,古天樂,Acting
83820,2,Gordon Lam Ka-Tung,林家棟,Acting
1341,2,Donnie Yen,甄子丹,Acting
70106,2,Nicholas Tse Ting-Fung,謝霆鋒,Acting
1018709,1,Qin Lan,秦嵐,Acting
78877,2,Ray Lui,呂良偉,Acting
80374,2,Patrick Tam Yiu-Man,譚耀文,Acting
940339,2,Sean Lau,劉青雲,Acting
89409,2,Raymond Lam Fung,林峯,Acting
64434,1,Charlene Choi Cheuk-Yin,蔡卓妍,Acting
1183237,2,Tan Kai,谭凯,Acting
110845,1,Carman Lee Yeuk-Tung,李若彤,Acting
21908,2,Aaron Kwok Fu-Shing,郭富城,Acting
148886,2,Alex Man Chi-Leung,萬梓良,Acting
56863,1,Miriam Yeung Chin-Wah,楊千嬅,Acting
118350,2,Cheung Tat-Ming,張達明,Acting
1035980,1,Pau Hei-Ching,鮑起靜,Acting
1337,2,Tony Leung,梁朝偉,Acting
69637,2,Leslie Cheung,張國榮,Acting
1622,2,Chang Chen,張震,Acting
133825,2,Gregory Dayton,Gregory Dayton,Acting
43661,2,Takeshi Kaneshiro,金城武,Acting
56830,1,Brigitte Lin Ching-Hsia,林青霞,Acting
12671,1,Faye Wong,Faye Wong,Acting
119875,1,Valerie Chow Kar-Ling,周嘉玲,Acting
66761,2,Leon Lai Ming,黎明,Acting
66762,1,Charlie Yeung Choi-Nei,杨采妮,Acting
57831,1,Karen Mok Man-Wai,莫文蔚,Acting
56816,1,Michelle Reis,李嘉欣,Acting
25246,2,Andy Lau Tak-Wah ,劉德華,Acting
1338,1,Maggie Cheung,張曼玉,Acting
12672,1,Carina Lau,劉嘉玲,Acting
25245,2,Jacky Cheung Hok-Yau,張學友,Acting
44917,1,Anita Mui,梅艷芳,Acting
69638,1,Emily Chu Bo-Yee,朱寶意,Acting
227780,1,Irene Wan,溫碧霞,Acting
110847,2,Dayo Wong Chi-Wah,黃子華,Acting
1202564,2,Louis Cheung,張繼聰,Acting
2557400,2,Peter Chan Charm-Man,Peter Chan Charm-man,Acting
78252,1,Stephy Tang Lai-Yan,鄧麗欣,Acting
1286615,1,Ivana Wong Yuen-Chi,王菀之,Acting
1397017,1,Liu Yase,劉雅瑟,Acting
543138,2,Mason Lee,Mason Lee,Acting
234641,2,Hiroyuki Ikeuchi,池内博之,Acting
1143687,0,Sammy Sum Chun-Hin,Sammy Sum Chun-Hin,Acting
1672870,1,Guo Shutong,Guo Shutong,Acting
116636,2,Guo Xiaodong,郭晓东,Acting
27084,1,Yu Nan,Yu Nan,Acting
1174685,2,Zhou Yiwei,周一圍,Acting
146098,2,Zhang Yi,Zhang Yi,Acting
1140044,2,Kevin Cheng Ka-Wing,鄭嘉穎,Acting
144860,2,Julian Cheung Chi-Lam,張智霖,Acting
230777,1,Jessica Hester Hsuan,Jessica Hester Hsuan,Acting
21912,2,Michael Tse Tin-Wah,謝天華,Acting
122818,2,Lawrence Ng Kai-Wah,吳啟華,Acting
56861,2,Tony Leung Ka-Fai,梁家輝,Acting
1081494,1,Chen Yan-yan,Chen Yan-yan,Acting
69636,2,Ti Lung,狄龍,Acting
1619,2,Chow Yun-Fat,周潤發,Acting
