MovieId,Year,Amount,Tickets,TotalAmount,TotalTickets,Rate,TheaterCount,Created_time,updated_time,start_date,end_date
22239,2022,2259748.0,8762.0,5095051.0,20105.0,-0.2029959408,24.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-09-12,2022-09-18
22239,2022,1259909.0,4864.0,6354960.0,24969.0,-0.442455973,24.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-09-19,2022-09-25
22239,2022,614220.0,2357.0,6969180.0,27326.0,-0.5124886004,22.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-09-26,2022-10-02
22239,2022,634802.0,2284.0,7603982.0,29610.0,0.0335091661,20.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-10-03,2022-10-09
22239,2022,294637.0,1104.0,7898619.0,30714.0,-0.5358600004,20.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-10-10,2022-10-16
22239,2022,81823.0,313.0,7980442.0,31027.0,-0.7222921765,13.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-10-17,2022-10-23
22239,2022,84981.0,339.0,8065423.0,31366.0,0.0385955049,9.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-10-24,2022-10-30
22239,2022,20178.0,80.0,8085601.0,31446.0,-0.7625586896000001,3.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-10-31,2022-11-06
22239,2022,7344.0,30.0,8092945.0,31476.0,-0.6360392507,2.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-11-07,2022-11-13
22239,2022,6375.0,27.0,8099320.0,31503.0,-0.1319444444,1.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-11-14,2022-11-20
22239,2022,6295.0,24.0,8105615.0,31527.0,-0.0125490196,1.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-11-21,2022-11-27
22239,2022,2585.0,10.0,8108200.0,31537.0,-0.5893566322,1.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-11-28,2022-12-04
22239,2022,20325.0,90.0,8128525.0,31627.0,6.8626692456,2.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-12-05,2022-12-11
22239,2022,810.0,3.0,8129335.0,31630.0,-0.9601476015,1.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2022-12-12,2022-12-18
22239,2022,620.0,3.0,8129955.0,31633.0,0.0,2.0,2025-01-31 14:03:39.542,2025-01-31 14:03:39.543,2023-04-03,2023-04-09
