tw_id,reference_year,tw_release_days,reference_year_amount,reference_year_tickets
20683,2022-01-01,21.0,49128,213
22307,2022-01-01,42.0,1130682,4827
17368,2022-01-01,2.0,84460,187
20591,2022-01-01,196.0,232320958,893940
21991,2022-01-01,107.0,175286007,660332
21383,2022-01-01,185.0,121075840,482219
19722,2022-01-01,49.0,1635607,3980
22751,2022-01-01,59.0,33261962,129299
21864,2022-01-01,122.0,31937273,130371
17110,2022-01-01,22.0,46830,131
13730,2022-01-01,1.0,9600,48
19157,2022-01-01,39.0,71390,280
23197,2022-01-01,24.0,19300162,76712
21385,2022-01-01,92.0,18860482,75408
20610,2022-01-01,59.0,16258900,65584
19389,2022-01-01,13.0,197710,425
21718,2022-01-01,151.0,15075451,61505
9977,2022-01-01,1.0,28820,131
23148,2022-01-01,30.0,11745636,47342
22194,2022-01-01,89.0,11318159,42813
20879,2022-01-01,88.0,11235779,46609
21625,2022-01-01,60.0,10801444,45504
22232,2022-01-01,85.0,10096897,39402
16420,2022-01-01,27.0,435261,1819
20279,2022-01-01,111.0,9309011,36999
22878,2022-01-01,37.0,8802123,35219
22020,2022-01-01,66.0,7627850,30072
19787,2022-01-01,80.0,356160,999
23365,2022-01-01,9.0,7372453,28973
21928,2022-01-01,56.0,7366694,27614
21973,2022-01-01,85.0,7341179,29186
22962,2022-01-01,51.0,6946254,27732
22380,2022-01-01,67.0,6379782,25412
20405,2022-01-01,119.0,5946205,26151
20057,2022-01-01,10.0,13230,55
20264,2022-01-01,46.0,4458051,18738
17129,2022-01-01,27.0,14430,32
16758,2022-01-01,20.0,208311,881
20105,2022-01-01,36.0,306795,1359
19895,2022-01-01,13.0,14115,58
19687,2022-01-01,101.0,888435,3733
21310,2022-01-01,50.0,3643625,14772
22788,2022-01-01,40.0,3126373,14193
19000,2022-01-01,27.0,52355,114
13292,2022-01-01,1.0,0,0
19766,2022-01-01,15.0,33450,418
23463,2022-01-01,1.0,2617138,7347
20415,2022-01-01,35.0,2604189,11049
23115,2022-01-01,44.0,2556505,10149
22230,2022-01-01,70.0,2536636,10216
20535,2022-01-01,53.0,2166882,8788
21065,2022-01-01,44.0,2120777,8769
20355,2022-01-01,46.0,1859284,7476
20762,2022-01-01,37.0,1828627,7485
20186,2022-01-01,2.0,11615,55
22512,2022-01-01,42.0,1537279,6174
20669,2022-01-01,36.0,1506461,6066
21237,2022-01-01,34.0,1403868,5924
21941,2022-01-01,65.0,1395111,6348
21790,2022-01-01,34.0,1367306,5535
22003,2022-01-01,33.0,1316875,5314
18774,2022-01-01,1.0,39600,180
23249,2022-01-01,16.0,1174114,4717
20780,2022-01-01,36.0,1167619,4857
22408,2022-01-01,31.0,1141683,4482
22167,2022-01-01,30.0,1100049,4482
18319,2022-01-01,4.0,6540,33
20744,2022-01-01,34.0,1037543,4543
20684,2022-01-01,75.0,1036440,4799
22114,2022-01-01,30.0,1035351,4109
20170,2022-01-01,27.0,71900,454
19852,2022-01-01,27.0,920379,3819
20766,2022-01-01,21.0,911465,4145
20715,2022-01-01,23.0,858838,3649
20631,2022-01-01,34.0,856896,3769
22511,2022-01-01,40.0,851769,3604
22229,2022-01-01,27.0,835671,3324
20229,2022-01-01,13.0,21553,86
21058,2022-01-01,56.0,812697,3361
20541,2022-01-01,46.0,809514,3568
22005,2022-01-01,20.0,805215,3262
21537,2022-01-01,45.0,779624,3013
22378,2022-01-01,27.0,769183,3156
19264,2022-01-01,33.0,758265,3114
19896,2022-01-01,14.0,12540,85
22174,2022-01-01,28.0,714492,3038
20993,2022-01-01,36.0,703841,2991
14034,2022-01-01,1.0,26400,120
21441,2022-01-01,32.0,660354,2618
22197,2022-01-01,32.0,636686,2705
20374,2022-01-01,27.0,618187,2720
20520,2022-01-01,27.0,583511,2327
21627,2022-01-01,34.0,575930,2474
20047,2022-01-01,1.0,27500,125
21933,2022-01-01,25.0,570570,2487
22960,2022-01-01,29.0,567908,2229
21710,2022-01-01,85.0,493877,2249
21929,2022-01-01,34.0,466241,2156
9952,2022-01-01,22.0,139673,594
21589,2022-01-01,26.0,434584,1831
21707,2022-01-01,18.0,430902,1822
20301,2022-01-01,55.0,430639,1938
22350,2022-01-01,22.0,425987,1774
22801,2022-01-01,31.0,416826,1788
22431,2022-01-01,31.0,415126,1830
23040,2022-01-01,31.0,414940,1885
22504,2022-01-01,55.0,413244,1678
23041,2022-01-01,24.0,407943,1811
22228,2022-01-01,37.0,399753,1783
20918,2022-01-01,39.0,391818,1755
22474,2022-01-01,28.0,375585,1564
18228,2022-01-01,16.0,84503,314
18705,2022-01-01,2.0,2820,15
20529,2022-01-01,47.0,330399,1411
22961,2022-01-01,24.0,322524,1270
20552,2022-01-01,21.0,321264,1347
23363,2022-01-01,2.0,313569,1250
23384,2022-01-01,2.0,312036,1319
22508,2022-01-01,22.0,311449,1406
