tmdb_id,tmdb_title,country_name,theater_release,streaming_release
1078810,富豪遊戲,法國,2024-09-18,
1078810,富豪遊戲,台灣,2024-11-29,
1079091,到我們為止,澳洲,2024-08-08,2024-09-24
1079091,到我們為止,印度,2024-08-09,
1079091,到我們為止,美國,2024-08-09,2024-09-24
1079091,到我們為止,法國,2024-08-14,
1079091,到我們為止,台灣,2024-08-30,
1079091,到我們為止,韓國,2024-09-13,
1079202,短句之國,台灣,2024-05-10,
1079485,小熊維尼2：噬血維尼,台灣,2024-05-17,
1079810,全力揮擊,美國,2024-04-12,2024-04-30
1079810,全力揮擊,台灣,2024-12-06,
10802,美國舞孃,美國,1995-09-22,
10802,美國舞孃,澳洲,1995-10-12,
10802,美國舞孃,韓國,1995-11-18,
10802,美國舞孃,日本,1995-12-16,
10802,美國舞孃,法國,1996-01-09,2016-08-26
1080494,我最愛的笨男人,台灣,2023-09-08,
1081640,特『刀劍亂舞-花丸-』～月之卷～,日本,2022-07-08,
1083862,惡靈古堡：死亡島,台灣,2023-06-29,
1083862,惡靈古堡：死亡島,澳洲,2023-07-06,
1083862,惡靈古堡：死亡島,日本,2023-07-07,
1083971,春行,台灣,2024-11-22,
1084740,小雁與吳愛麗,台灣,2024-10-10,
1084783,守護黑面琵鷺,台灣,2023-03-24,
1085218,自由協議,台灣,2024-03-22,
1085574,環南時候,台灣,2024-05-31,2024-08-28
1086011,長夜盡頭的微光,日本,2024-02-09,2024-07-24
1086011,長夜盡頭的微光,台灣,2024-05-10,
1086011,長夜盡頭的微光,韓國,2024-09-18,
1086011,長夜盡頭的微光,法國,2024-12-02,
1086591,青春豬頭少年不會夢到紅書包女孩,日本,2023-12-01,
1086591,青春豬頭少年不會夢到紅書包女孩,台灣,2023-12-15,
1086591,青春豬頭少年不會夢到紅書包女孩,韓國,2024-02-01,
1086591,青春豬頭少年不會夢到紅書包女孩,澳洲,2024-05-09,
1086747,窺探者,澳洲,2024-06-06,
1086747,窺探者,台灣,2024-06-07,
1086747,窺探者,印度,2024-06-07,
1086747,窺探者,美國,2024-06-07,2024-06-28
1086747,窺探者,法國,2024-06-12,
1086747,窺探者,日本,2024-06-21,2024-09-25
1087388,蜘蛛驚,美國,2024-04-12,2024-05-14
1087388,蜘蛛驚,台灣,2024-05-01,
1087388,蜘蛛驚,澳洲,2024-07-11,
1087822,地獄怪客：歪曲人的詛咒,台灣,2024-10-04,
1087822,地獄怪客：歪曲人的詛咒,澳洲,2024-10-10,
1088428,少男少女,台灣,2023-11-17,2024-05-24
1088514,隔壁的房間,韓國,2024-10-23,
1088514,隔壁的房間,台灣,2024-11-29,
1088514,隔壁的房間,澳洲,2024-12-26,
1088514,隔壁的房間,法國,2025-01-08,
1088514,隔壁的房間,美國,2025-01-17,
1088514,隔壁的房間,日本,2025-01-31,
1088709,種土,台灣,2024-09-20,
1088851,她們的盛夏微愛,台灣,2024-07-26,
1089,驚爆點,美國,1991-07-12,
1089,驚爆點,法國,1991-08-28,
1089,驚爆點,韓國,1991-12-21,
1089,驚爆點,澳洲,1992-01-01,
1090031,靠近維梅爾,美國,2023-05-26,
1091360,AI時代,台灣,2023-09-08,
1093215,他的最後一個朋友,台灣,2024-01-19,
1093453,炸彈客,台灣,2023-04-21,
1093485,掃毒3：人在天涯,台灣,2023-08-11,
1093485,掃毒3：人在天涯,韓國,2023-12-07,
1094482,來生再見未名的我們,日本,2024-05-31,2024-10-28
1095805,武替道,台灣,2024-10-04,
1095805,武替道,美國,2024-10-11,
1096018,消失的紫斑蝶,台灣,2023-05-19,
1098275,詩,台灣,2024-03-22,2024-07-19
1099217,白日之下,台灣,2023-11-17,
1100705,邪妓,台灣,2024-01-26,
1100901,全個世界都有電話,台灣,2024-06-21,
11010,郵差,美國,1995-06-14,
11010,郵差,法國,1995-10-28,
11010,郵差,韓國,1996-03-09,
11010,郵差,台灣,2021-04-09,
1101181,法庭遊戲,日本,2023-11-10,
1101181,法庭遊戲,台灣,2024-03-08,
11012,烈火情人,法國,1992-12-02,2016-01-01
11012,烈火情人,美國,1992-12-02,
11012,烈火情人,韓國,1994-12-17,
1101734,日安，我的母親,日本,2023-09-01,
1101734,日安，我的母親,台灣,2024-01-12,
1102510,鬼面女,台灣,2024-03-29,
110283,民暴之女,日本,1992-05-16,
110283,民暴之女,美國,1994-10-19,
1102857,鬼們之蝴蝶大廈,台灣,2024-11-01,
1103432,BLOODY ESCAPE：地獄的逃走劇,日本,2024-01-05,
1103432,BLOODY ESCAPE：地獄的逃走劇,韓國,2024-07-25,
1103621,金孫爆富攻略,台灣,2024-06-21,2024-12-12
1103621,金孫爆富攻略,澳洲,2024-07-18,
1103621,金孫爆富攻略,韓國,2024-10-09,
1103621,金孫爆富攻略,印度,2024-11-29,2024-12-12
1103621,金孫爆富攻略,法國,2025-04-16,
1103621,金孫爆富攻略,日本,2025-06-13,
1106528,新進社員：電影版,韓國,2023-08-03,
1106528,新進社員：電影版,台灣,2023-10-06,
