movie_id,id
936286,3418133
1026182,3706994
1017006,3677076
927480,1985836
810020,1355012
899387,1333870
829584,3129641
868682,3216204
893252,2470685
985569,3334153
960450,2922825
660001,31083
816752,69831
874781,3236477
302528,56205
877246,1384389
900843,1387205
1026182,3706994
1009987,3655587
814174,1006872
1153451,1966272
1009977,3655548
1025309,3674697
1009995,3072794
1050665,2632628
1200506,4356449
24614,92071
27101,96956
975681,3549247
1032330,1580826
1039769,3756671
137686,3634452
798092,2816828
741329,1012320
900062,2086014
939939,1576769
375281,1307164
316569,1333863
74107,254937
484574,1333863
278445,1333863
256133,1092244
262831,1158889
356701,1158889
262828,1158889
660002,123199
27062,96861
758891,1627287
497834,71056
712164,2021340
638032,56739
827689,1326036
537867,2091938
923192,3369910
903125,3322564
627087,2399109
499556,1962993
436792,118734
919570,20657
496243,21684
955555,2376041
729854,1576066
1063453,3140690
844386,583175
1057001,557736
753091,84969
1148154,2212385
606400,120643
919207,17119
581395,1135240
1137172,4100888
813079,1720838
617882,587672
1052433,2097690
977155,1632457
1168166,111411
1168166,580244
1168166,112752
1168166,2545616
1168166,2312405
581394,64883
1357982,3811675
1028684,3715927
166271,5877
783110,86325
941045,1294510
987540,3081451
656156,17120
957154,2774483
714651,1294643
848198,2189115
964592,2919106
848145,1717032
715253,1293710
936243,1771406
952476,3137399
995063,1883920
610249,1410322
640327,1910480
901121,69081
773910,1764940
41245,96657
979688,3593576
979688,3593579
670,10099
1106528,1057492
51550,144412
1166425,4100924
978202,83030
4550,10099
923344,1312149
30018,21684
636283,2085263
636283,2085264
1189165,3593576
1189165,4312690
4689,10099
817485,2402788
817485,3048836
1106732,2042738
42190,63429
956759,3422997
1076443,2042738
831480,571162
1156807,3460618
1002470,150975
682109,2233732
165213,557736
242452,1285352
797787,2836746
1077647,150975
22536,10099
62439,1296107
717908,2687337
637920,230767
128246,1086497
973778,1210155
938250,19896
1075010,2030740
1075010,58401
958279,1680263
582,8193
910365,37538
925341,1276771
928709,33040
748787,113500
976893,2303
842424,62872
912726,5125
586813,74008
9343,6818
1033176,1988887
1061648,2146603
1017063,2466702
1017063,2852400
1017063,2850054
396194,65314
11010,28898
803700,939150
803700,239672
693349,25819
852758,1563462
743173,225880
1091360,90139
795254,2927206
1090024,1289315
794234,1667540
794246,236865
788977,119293
1058078,111389
1015936,1451375
915939,1619897
584242,1170106
1029178,3645700
782936,1284692
916405,2294822
888321,65062
997777,141388
1073449,2034461
1057919,3677079
1057919,1593452
1030991,2452110
959558,1280765
296271,131668
835362,592312
993234,2383553
1027982,3713658
759524,2838953
973587,2838953
1015079,1062447
1077693,1899637
1005141,2338840
1058616,3820182
853084,1543246
977177,111481
709631,1364891
1113119,2326894
976125,1862367
976125,3028833
1113085,565827
1031388,1651297
842607,1572524
937753,1284545
1076011,1338664
1076011,3891119
1076011,3961076
952127,962478
952127,1563787
977179,1272144
977179,1272145
804868,2593321
788734,1280021
823598,66719
1093485,92831
990140,1341
990140,1415282
531379,1194706
957863,1879401
741602,2434741
990326,81224
969050,93991
1172012,21905
824742,2726421
902533,92831
1029168,3459039
1099217,1278466
957861,1553944
1002317,134851
1027944,3713690
1005259,3639307
898009,1376363
999056,1002598
1002318,134851
72445,123199
1147689,2972234
1063554,2054461
1177518,2221769
988900,1571470
988900,1143699
988900,1789105
882569,956
1008042,2070453
1008042,2070452
965150,1904110
11948,46230
980078,3122176
676710,57917
11416,8965
560008,166995
11012,15389
1104840,69346
261832,1287083
261832,28489
953233,1276911
591538,1223
4348,36588
89455,8557
87827,1614
787791,206161
787791,460
48231,224
10435,4786
11889,36693
46992,26481
3635,16785
71,468
971699,1674275
28468,58021
935,240
575264,9033
385687,18865
502356,113901
502356,1719706
603692,40644
872585,525
346698,45400
667538,1551545
447365,15218
298618,1113116
572802,2127
569094,2451598
569094,1046497
569094,89596
976573,21198
493529,52935
493529,1236679
609681,1795072
787699,101666
695721,10943
926393,20907
980489,82194
968051,1607672
447277,17633
335977,366
893723,1098477
536554,1288796
753342,578
739405,956
670292,129894
565770,1500758
594767,1302082
646389,58324
299054,293911
945729,11181
951491,2150
614479,17178
466420,1032
45464,46325
1050035,25645
713704,1398631
507089,2103746
616747,1059571
758323,1299642
937278,12995
785084,6431
890771,589402
762430,41671
678512,72960
897087,35453
884605,84416
615777,136495
717930,76422
700391,1317685
700391,1317686
532408,1129908
614930,1578590
666277,2518227
649609,144816
155,525
768362,2093041
768362,2093036
901362,118489
934433,66681
934433,1039527
1040148,71267
891699,11401
747188,5655
1071215,16847
792293,50767
912908,1152054
631842,11614
817758,5010
365620,638
758009,168667
536437,2294
674324,54472
621587,55934
823482,1280021
804150,9281
605886,591600
609768,1756398
844409,67570
876969,928490
1015303,1521437
804095,488
977013,1167470
798286,1145520
864168,1215038
917007,2198345
839369,16863
806368,1150548
829051,1405645
1004685,1152
798362,17329
1024773,2421793
942199,545330
1030987,1200541
899524,1119247
1043565,21701
1074034,101488
989473,107794
1004663,220691
1113278,1070338
823147,1366450
