MovieId,Publisher_name
20265,GMM TV COMPANY LIMITED
24915,GMM TV Company Limited
27736,GMM TV Company Limited
16906,GOLDCREST FILMS INTERNATIONAL LIMITED
26690,GOLDEN SCENE COMPANY LIMITED
23385,GOLDEN SCENE COMPANY LIMITED
27002,GOLDEN SCENE COMPANY LIMITED
26804,GOODFELAS
24573,GOODFELLAS
27483,GOODFELLAS
29527,GOODFELLAS SAS
26242,Gaga Corporation
26351,Gaumont
21355,Gaumont
23957,Gaumont S.A.
24095,Gaumont S.A.
15271,Giraffe Pictures PTE Ltd. 
5511,Goethe-Institut Korea
26398,Gold View Co.  Ltd.
27506,Golden Scene Company Limited
17126,Golden Scene Company Limited
21626,Good Move Media
19908,Good Move Media
20952,Good Vibe Media
20714,Good Vibe Media
25993,Gravitas Ventures  LLC
21758,Great Point Media Limited
26606,Green Light LCC.
22350,Green Light LLC.
27735,H264
27647,H264 
26630,HAKUHODO DY MUSIC 
26741,HAKUHODO DY MUSIC 
14480,HANWAY FILMS LIMITED
22611,HANWAY FILMS LIMITED
19272,HANWAY FILMS LIMITED
19092,HANWAY FILMS LIMITED
16474,HANWAY FILMS LIMITED
21265,HANWAY FILMS LIMITED
20445,HANWAY FILMS LIMITED
22407,HANWAY FILMS LIMITED
2858,HANWAY FILMS LIMITED
17878,HANWAY FILMS LIMITED
14021,HANWAY FILMS LIMITED
16101,HANWAY FILMS LIMITED
24703,HANWAY FILMS LIMITED
26881,HANWAY FILMS LIMITED 
28493,HI-AX LLP
19269,HIVE FILMWORKS INC.
25168,HOUSE OF FILM
26368,HOUSE ON FIRE
16189,HX Investment (HK) Limited
24496,HYPNOTIC FILM HOLDINGS LLC
27379,Hakuhodo DY music 
21780,Hakuhodo DY music 
29237,Hakuhodo DY music 
17129,Hakuhodo DY music 
28099,Hakuhodo DY music 
27966,Hakuhodo DY music 
19000,Hakuhodo DY music 
27029,Hakuhodo DY music 
27445,Hakuhodo DY music 
27648,Hakuhodo DY music 
21350,Hakuhodo DY music 
15965,Hanway Films Limited
20290,Hanway Films Limited
24734,Hanway Films Limited
20292,Hanway Films Limited
26389,Hanway Films Limited
20293,Hanway Films Limited
18530,Hanway Films Limited
26345,Hanway Films Limited
20291,Hanway Films Limited
26882,Hanway Films Limited 
24876,Happinet Phantoal Studios
29441,Happinet Phantom Studios Corporation
26751,Happinet Phantom Studios Corporation
27666,Happinet Phantom Studios Corporation
22421,Happinet Phantom Studios Corporation 
27873,Harine Films
24728,Harvest Film
20515,Haven Productions Ltd.
23437,Hedva Goldschmidt - Go2Films
19920,Heretic
25588,Hive Filmwokers Inc.
28280,Hollywood (Thailand) Co.  Ltd.
26631,Hollywood(Thailand)Co. Ltd
27949,House of Film LLC
24716,ILLUMINATIONS TELEVISION LTD.
21039,IMAX Corporation
21041,IMAX Corporation.
21037,IMAX Corporation.
23288,IMAX Corporation.
21040,IMAX Corporation.
21038,IMAX Corporation.
23287,IMAX Film Holding Co.
21036,IMAX Film Holding Co.
21035,IMAX Film Holding Co.
19093,INDIE SALES COMPANY
28526,INDIE SALES COMPANY
27416,INDIE SALES COMPANY
26692,INDIE SALES COMPANY
26967,INDIE SALES COMPANY
22754,INDIESTORY INC
26509,INOLMEDIA
20994,INOLMEDIA Co. Ltd
23366,INTERCONMEDIA INTERNATIONAL CO.  LTD.
25167,"INTERCONMEDIA INTERNATIONAL CO., LTD."
21536,INTRAMOVIES
18824,Ice Road Productions LLC
26038,Independent Entertainment
20801,Indiestory Inc.
29249,Inolmedia
27435,Ippo Inc.
23354,Iranian Independents
23041,Itami Productions Co.  Ltd.
23040,Itami Productions Co.  Ltd.
24994,"Itami Productions Co., Ltd."
24993,"Itami Productions Co., Ltd."
24991,"Itami Productions Co., Ltd."
24996,"Itami Productions Co., Ltd."
24995,"Itami Productions Co., Ltd."
24992,"Itami Productions Co., Ltd."
25099,"Itami Productions Co., Ltd."
25100,"Itami Productions Co., Ltd."
19787,J Storm
20779,JAPAN HOME VIDEO INC.
12431,JAVA FILMS
26647,JOINT VENTURE NOT FRIENDS
24094,JOYLAND LLC.
26751,JR East Marketing 
26140,JW SAB 
21732,Jet Tone Films Limited
20716,Jet Tone Films Limited
18149,Jet Tone Productions Ltd.
23576,Joint Venture Destiny The Movie
28479,K- MOVIE ENTERTAINMENT
20110,K-Movie Entertainment
20983,KADOKAWA
19264,KADOKAWA CORPORATION
22228,KADOKAWA CORPORATION
24118,KADOKAWA CORPORATION
26845,KADOKAWA CORPORATION
24212,KADOKAWA CORPORATION
24514,KADOKAWA CORPORATION
23249,KADOKAWA CORPORATION
24087,KADOKAWA CORPORATION
6308,KADOKAWA CORPORATION
21441,KADOKAWA CORPORATION
20101,KADOKAWA CORPORATION
26553,KADOKAWA CORPORATION
29483,KADOKAWA CORPORATION
29097,KADOKAWA CORPORATION 	 
19920,KARNAVAS-KONTOVRAKIS KAI SIA OE
26751,KDDI CORPORATION
23115,KING RECORD CO.  LTD.
23473,KING RECORD CO.  LTD.
26843,KING RECORD CO.  LTD.
20699,KING RECORD CO. LTD.
13292,KING RECORD COMPANY LIMITED
26578,KING RECORD COMPANY LIMITED
29763,KINO FILMS CO.  LTD.
29514,KINO FILMS CO. LTD
24253,KINO SWIAT
27643,KINOLOGY
26257,KINOLOGY
22349,KINOLOGY
29189,KINOLOGY.
28501,KINOLOGY.
28777,KINOSHITA GROUP CO.  LTD
25039,KINOSHITA GROUP CO.  LTD.
25992,KINOSHITA GROUP CO.  LTD.
23603,KINOSHITA GROUP CO.  LTD.
29653,KODANSHA Ltd.
18794,KT HITEL CO. LTD.
18813,KT HITEL CO. LTD.
26751,Kansai Television Co. Ltd.
20314,Kick The Machine Films
21388,Kinology
20300,Kinology
25445,KowaInternationalCo. Ltd.
25650,KowaInternationalCo. Ltd.
25651,KowaInternationalCo. Ltd.
28638,Kt alpha Co Ltd
25323,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL
28045,LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL
21824,LE PACTE
28503,LE PACTE
25352,LE PACTE
23712,LE PETIT BUREAU S.A.S
22756,LES FILMS DE LA PLEIADE
21664,LES FILMS DU LOSANGE
29620,LES FILMS DU LOSANGE
23375,LES FILMS DU LOSANGE
25461,LES FILMS DU LOSANGE
20925,LIONS GATE INTERNATIONAL (UK) LIMITED
23426,LIONS GATE INTERNATIONAL (UK) LIMITED
26092,LOCO FILMS
21888,LOCO FILMS
23221,LOCO FILMS 
20673,LUNAR FILMS PTY LIMITED
20672,LUNAR FILMS PTY LIMITED
26794,LUXBOX
21866,LUXBOX SAS
29372,LUXBOX SAS
29652,LUXBOX SAS
27551,Latido C. E. C. E.
23392,Le Pacte
18306,Lemming Film
21399,Les Grands Films Classiques
26803,LevelK ApS
23154,LevelK ApS
26387,LevelK ApS
21380,LevelK ApS
21706,LevelK ApS
26691,Lightcraft Entertainment Sp. z o.o.
27446,Lions Gate International (UK) Limited
28384,Lotte CultureWorks Co.  Ltd.
23487,Lotus Production SRL
23838,Luminescence Kft.
23704,Luminescence Kft.
25040,Luminescence Kft.
25344,Luminescence Kft.
24880,Luminescence Kft.
28177,Luminescence Kft.
19991,Lunar Films Pty. Limited
24088,Luxbox SAS
8031,M CORPORATION
28301,M DISTRIBUTION CO.  LTD.
23199,M LINE DISTRIBUTION
27108,M PICTURES CO. LTD.
26126,M PICTURES COMPANY LIMITED
24309,M PICTURES COMPANY LIMITED
23085,M PICTURES COMPANY LIMITED
3142,M PICTURES COMPANY LIMITED.
