person_id,gender_id,person_name,person_original_name,known_for_department,data_created_time,data_updated_time
1716493,2,Harris Dickinson,Harris Dickinson,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
253,2,Douglas Rain,Douglas Rain,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1232442,2,Jouji Shibue,渋江譲二,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
11355,2,Jason Isaacs,Jason Isaacs,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
3672524,2,Lucas Sagae,Lucas Sagae,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1730944,2,Dominik Warta,Dominik Warta,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
129215,2,Ernst Stötzner,Ernst Stötzner,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1311150,2,Im Cheol-hyung,임철형,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
189720,2,Kevin Parent,Kevin Parent,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
27428,2,Aaron Taylor-Johnson,Aaron Taylor-Johnson,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1364004,2,Tom Bateman,Tom Bateman,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
707,2,Dan Aykroyd,Dan Aykroyd,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1260004,2,Tawfeek Barhom,Tawfeek Barhom,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
35027,3,Ryan Simpkins,Ryan Simpkins,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
